model,Price,Rating,SIM,RAM,Processor,Display,Camera,OS,SIM_Type,Supports_3G,Supports_4G,Supports_5G,VoLTE,WiFi,NFC,IR_Blaster,RAM_GB,Storage_GB,Chipset,Cores,ClockSpeed_GHz,Core_Word,Display_Size,Resolution,RefreshRate_Hz,Rear_Main_MP,Front_MP,Resolution_Width,Resolution_Height,Card_Support,Card_Capacity_GB,OS_Name,OS_Version
Realme P2 Pro 5G,16999,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7s Gen 2,8.0,2.4,Octa,6.7,1080 x 2412,120.0,50.0,32.0,1080.0,2412.0,Yes,14,No,14.0
Apple iPhone 15 Plus,72490,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","6 GB RAM, 128 GB inbuilt","Bionic A16, Hexa Core, 3.46 GHz Processor","6.7 inches, 1290 x 2796 px Display with Dynamic Island",48 MP + 12 MP Dual Rear & 12 MP Front Camera,iOS v17,Dual Sim,1,1,1,1,1,1,0,6,128,Bionic A16,6.0,3.46,Hexa,6.7,1290 x 2796,,48.0,12.0,1290.0,2796.0,No,0,iOS,17.0
Motorola Moto G62 (8GB RAM + 128GB),11999,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon  695, Octa Core, 2.2 GHz Processor","6.55 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon  695,8.0,2.2,Octa,6.55,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,1,Android,12.0
Google Pixel 6 Pro,32499,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","12 GB RAM, 128 GB inbuilt","Tensor , Octa Core, 2.8 GHz Processor","6.71 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 12 MP Triple Rear & 11.1 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,12,128,Tensor ,8.0,2.8,Octa,6.71,1440 x 3120,120.0,50.0,,1440.0,3120.0,Yes,12,No,14.0
Infinix Smart 10,6799,64.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Unisoc T7250, Octa Core, 1.8 GHz Processor","6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",8 MP Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,0,1,1,0,0,4,64,Unisoc T7250,8.0,1.8,Octa,6.67,720 x 1600,120.0,8.0,8.0,720.0,1600.0,Yes,0,Android,15.0
Vivo Y300 5G,20999,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 4 Gen2,8.0,2.2,Octa,6.67,1080 x 2400,120.0,50.0,32.0,1080.0,2400.0,Yes,2,Android,14.0
Xiaomi Redmi 14C 5G,9498,71.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,4,64,Snapdragon 4 Gen2,8.0,2.2,Octa,6.88,720 x 1640,120.0,50.0,8.0,720.0,1640.0,Yes,1,Android,14.0
Vivo T3 Pro 5G,23893,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7 Gen3,8.0,2.63,Octa,6.77,1080 x 2392,120.0,50.0,16.0,1080.0,2392.0,No,0,Android,14.0
Realme P3x 5G (8GB RAM + 128GB),14199,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 6400, Octa Core, 2.5 GHz Processor","6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 6400,8.0,2.5,Octa,6.72,1080 x 2400,120.0,50.0,8.0,1080.0,2400.0,Yes,0,Android,15.0
Oppo A5 (2025),15498,76.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","6 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,0,6,128,Dimensity 6300,8.0,2.4,Octa,6.67,720 x 1604,120.0,50.0,8.0,720.0,1604.0,Yes,2,Android,15.0
OnePlus Nord 4 5G (8GB RAM + 256GB),26999,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","8 GB RAM, 256 GB inbuilt","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor","6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,8,256,Snapdragon 7+ Gen3,8.0,2.8,Octa,6.74,1240 x 2772,120.0,50.0,16.0,1240.0,2772.0,Yes,14,No,14.0
Poco M6 Plus 5G,10399,78.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen2 AE, Octa Core, 2.3 GHz Processor","6.79 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 13 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,1,6,128,Snapdragon 4 Gen2 AE,8.0,2.3,Octa,6.79,1080 x 2460,120.0,108.0,13.0,1080.0,2460.0,Yes,1,Android,14.0
Nothing Phone 2a,21945,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Dimensity 7200 Pro, Octa Core, 2.8 GHz Processor","6.7 inches, 1084 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,8,128,Dimensity 7200 Pro,8.0,2.8,Octa,6.7,1084 x 2412,120.0,50.0,32.0,1084.0,2412.0,Yes,14,No,14.0
Apple iPhone 16 Plus,81900,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",128 GB inbuilt,"Bionic A18, Hexa Core, 4.04 GHz Processor","6.7 inches, 1290 x 2796 px Display with Dynamic Island",48 MP + 12 MP Dual Rear & 12 MP Front Camera,iOS v18,Dual Sim,1,1,1,1,1,1,0,0,0,Bionic A18,6.0,4.04,Hexa,6.7,1290 x 2796,,48.0,12.0,1290.0,2796.0,No,0,iOS,18.0
Xiaomi Redmi A4 5G (6GB RAM + 128GB),9799,72.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Snapdragon 4s Gen2, Octa Core, 2 GHz Processor","6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 5 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,6,128,Snapdragon 4s Gen2,8.0,2.0,Octa,6.88,720 x 1640,120.0,50.0,5.0,720.0,1640.0,Yes,1,Android,14.0
iQOO Z10x 5G (8GB RAM + 128GB),14998,76.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Dimensity 7300, Octa Core, 2.5 GHz Processor","6.72 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,128,Dimensity 7300,8.0,2.5,Octa,6.72,1080 x 2408,120.0,50.0,8.0,1080.0,2408.0,Yes,15,No,14.0
Realme Narzo 80x 5G (8GB RAM + 128GB),12499,78.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 6400, Octa Core, 2.5 GHz Processor","6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 6400,8.0,2.5,Octa,6.72,1080 x 2400,120.0,50.0,8.0,1080.0,2400.0,Yes,0,Android,15.0
Ai+ Pulse (6GB RAM +128GB),6999,71.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Unisoc T615, Octa Core, 1.8 GHz Processor","6.75 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP Rear & 5 MP Front Camera,Android v15,Dual Sim,1,1,0,1,1,0,0,6,128,Unisoc T615,8.0,1.8,Octa,6.75,720 x 1600,90.0,50.0,5.0,720.0,1600.0,Yes,1,Android,15.0
Poco M7 5G (8GB RAM + 128GB),10298,77.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 4 Gen2,8.0,2.2,Octa,6.88,720 x 1640,120.0,50.0,8.0,720.0,1640.0,Yes,1,Android,14.0
Realme P3 Pro 5G (8GB RAM +256GB),20999,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","6.83 inches, 1272 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,256,Snapdragon 7s Gen3,8.0,2.5,Octa,6.83,1272 x 2800,120.0,50.0,16.0,1272.0,2800.0,Yes,15,No,14.0
Realme P1 Speed 5G (12GB RAM + 256GB),16726,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","12 GB RAM, 256 GB inbuilt","Dimensity 7300 E, Octa Core, 2.5 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,12,256,Dimensity 7300 E,8.0,2.5,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,2,Android,14.0
Samsung Galaxy F06 5G,8990,72.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.7 inches, 720 x 1600 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,4,128,Dimensity 6300,8.0,2.4,Octa,6.7,720 x 1600,,50.0,8.0,720.0,1600.0,Yes,1,Android,15.0
Vivo V40 5G,34999,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7 Gen3,8.0,2.63,Octa,6.78,1260 x 2800,120.0,50.0,50.0,1260.0,2800.0,No,0,Android,14.0
Tecno Pova 7 Pro 5G,18999,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","8 GB RAM, 128 GB inbuilt","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","6.78 inches, 1224 x 2720 px, 144 Hz Display with Punch Hole",64 MP + 8 MP Dual Rear & 13 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,8,128,Dimensity 7300 Ultimate,8.0,2.5,Octa,6.78,1224 x 2720,144.0,64.0,13.0,1224.0,2720.0,Yes,15,No,14.0
Vivo T3 5G,18499,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 7200, Octa Core, 2.8 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 7200,8.0,2.8,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,1,Android,14.0
Samsung Galaxy S23 5G,44994,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Snapdragon 8 Gen 2, Octa Core, 3.36 GHz Processor","6.1 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 10 MP Triple Rear & 12 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,8,128,Snapdragon 8 Gen 2,8.0,3.36,Octa,6.1,1080 x 2340,120.0,50.0,12.0,1080.0,2340.0,Yes,13,No,14.0
Oppo A5x 4G (4GB RAM + 128GB),9999,69.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","4 GB RAM, 128 GB inbuilt","Snapdragon 6s 4G Gen1, Octa Core, 2.1 GHz Processor","6.67 inches, 720 x 1604 px, 90 Hz Display with Punch Hole",32 MP Rear & 5 MP Front Camera,Android v15,Dual Sim,1,1,0,1,1,0,1,4,128,Snapdragon 6s 4G Gen1,8.0,2.1,Octa,6.67,720 x 1604,90.0,32.0,5.0,720.0,1604.0,Yes,0,Android,15.0
Realme Narzo 80 Lite (6GB RAM + 128GB),11498,74.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,6,128,Dimensity 6300,8.0,2.4,Octa,6.67,720 x 1604,120.0,32.0,8.0,720.0,1604.0,Yes,2,Android,15.0
Realme 15 5G (8GB RAM + 256GB),26920,75.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Dimensity 7300 Plus, Octa Core Processor","6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,256,Dimensity 7300 Plus,8.0,,Octa,6.8,1280 x 2800,144.0,50.0,50.0,1280.0,2800.0,Yes,15,No,14.0
Infinix Note 50s 5G (8GB RAM + 256GB),17999,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 256 GB inbuilt","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",64 MP + 2 MP Dual Rear & 13 MP Front Camera,Bluetooth,Dual Sim,1,1,1,1,1,0,1,8,256,Dimensity 7300 Ultimate,8.0,2.5,Octa,6.78,1080 x 2436,144.0,64.0,13.0,1080.0,2436.0,Yes,15,Bluetooth,14.0
Ai+ Nova 5G (8GB RAM + 128GB),9999,68.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Unisoc T8200, Octa Core Processor","6.75 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 5 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Unisoc T8200,8.0,,Octa,6.75,720 x 1600,120.0,50.0,5.0,720.0,1600.0,Yes,1,Android,15.0
Realme P3 5G (8GB RAM + 128GB),16999,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,8,128,Snapdragon 6 Gen4,8.0,2.3,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,15,No,14.0
Poco X7 5G (8GB RAM + 256GB),17899,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","8 GB RAM, 256 GB inbuilt","Dimensity 7300 Ultra, Octa Core, 2.5 GHz Processor","6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,8,256,Dimensity 7300 Ultra,8.0,2.5,Octa,6.67,1220 x 2712,120.0,50.0,20.0,1220.0,2712.0,Yes,14,No,14.0
OnePlus 13 (16GB RAM+ 512GB),69999,92.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","16 GB RAM, 512 GB inbuilt","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","6.82 inches, 1440 x 3168 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,16,512,Snapdragon 8 Elite,8.0,4.32,Octa,6.82,1440 x 3168,120.0,50.0,32.0,1440.0,3168.0,No,0,Android,15.0
Realme 14x 5G,14249,74.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,6,128,Dimensity 6300,8.0,2.4,Octa,6.67,720 x 1604,120.0,50.0,8.0,720.0,1604.0,Yes,0,Android,14.0
Oppo F29,23998,77.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 6 Gen1,8.0,2.2,Octa,6.7,1080 x 2412,120.0,50.0,16.0,1080.0,2412.0,Yes,15,No,14.0
Samsung Galaxy F05,6549,69.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Helio G85, Octa Core, 2 GHz Processor","6.74 inches, 720 x 1600 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,0,1,1,0,0,4,64,Helio G85,8.0,2.0,Octa,6.74,720 x 1600,,50.0,8.0,720.0,1600.0,Yes,1,Android,14.0
Realme GT 6 5G (16GB RAM + 512GB),32999,88.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","16 GB RAM, 512 GB inbuilt","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,1,16,512,Snapdragon 8s Gen3,8.0,3.0,Octa,6.78,1264 x 2780,120.0,50.0,32.0,1264.0,2780.0,No,0,Android,14.0
Motorola Moto G64 5G (12GB RAM + 256GB),16998,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","12 GB RAM, 256 GB inbuilt","Dimensity 7025, Octa Core, 2.5 GHz Processor","6.5 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,12,256,Dimensity 7025,8.0,2.5,Octa,6.5,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,1,Android,14.0
Realme 13 Pro Plus 5G,25999,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,256,Snapdragon 7s Gen2,8.0,2.4,Octa,6.7,1080 x 2412,120.0,50.0,32.0,1080.0,2412.0,No,0,Android,14.0
Samsung Galaxy S24 Ultra (12GB RAM + 512GB),112999,93.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","12 GB RAM, 512 GB inbuilt","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","6.8 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP Quad Rear & 12 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,12,512,Snapdragon 8 Gen3,8.0,3.3,Octa,6.8,1440 x 3120,120.0,200.0,12.0,1440.0,3120.0,No,0,Android,14.0
Xiaomi Redmi Note 13 Pro Plus (12GB RAM + 256GB),26999,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Dimensity 7200 Ultra, Octa Core, 2.8 GHz Processor","6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,1,1,12,256,Dimensity 7200 Ultra,8.0,2.8,Octa,6.67,1220 x 2712,120.0,200.0,16.0,1220.0,2712.0,No,0,Android,13.0
Google Pixel 9 Pro,89999,90.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","16 GB RAM, 256 GB inbuilt","Tensor G4, Octa Core, 3.1 GHz Processor","6.3 inches, 1280 x 2856 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 48 MP Triple Rear & 42 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,16,256,Tensor G4,8.0,3.1,Octa,6.3,1280 x 2856,120.0,50.0,42.0,1280.0,2856.0,Yes,14,No,14.0
iQOO Z10 Lite 5G (6GB RAM + 128GB),10998,73.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.74 inches, 720 x 1600 px, 90 Hz Display",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Bluetooth,Dual Sim,1,1,1,1,1,0,0,6,128,Dimensity 6300,8.0,2.4,Octa,6.74,720 x 1600,90.0,50.0,5.0,720.0,1600.0,Yes,15,Bluetooth,14.0
Samsung Galaxy F06 5G (4GB RAM + 64GB),8199,70.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.7 inches, 720 x 1600 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,4,64,Dimensity 6300,8.0,2.4,Octa,6.7,720 x 1600,,50.0,8.0,720.0,1600.0,Yes,1,Android,15.0
OPPO Reno 13 5G (8GB+256GB),37999,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","8 GB RAM, 256 GB inbuilt","Dimensity 8350, Octa Core, 3.35 GHz Processor","6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,8,256,Dimensity 8350,8.0,3.35,Octa,6.59,1256 x 2760,120.0,50.0,50.0,1256.0,2760.0,Yes,15,No,14.0
Lava Blaze X 5G (6GB RAM + 128GB),11999,76.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",64 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,6,128,Dimensity 6300,8.0,2.4,Octa,6.67,1080 x 2400,120.0,64.0,16.0,1080.0,2400.0,No,0,Android,14.0
Oppo F27 Pro Plus 5G (8GB RAM +128GB),19999,78.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 7050, Octa Core, 2.6 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",64 MP + 2 MP Dual Rear & 8 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 7050,8.0,2.6,Octa,6.7,1080 x 2412,120.0,64.0,8.0,1080.0,2412.0,Yes,14,No,14.0
Motorola Edge 50 Pro 5G,29990,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","6.7 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole",50 MP + 13 MP + 10 MP Triple Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,8,256,Snapdragon 7 Gen3,8.0,2.63,Octa,6.7,1220 x 2712,144.0,50.0,50.0,1220.0,2712.0,Yes,14,No,14.0
Apple iPhone 14,54090,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","6 GB RAM, 128 GB inbuilt","Bionic A15, Hexa Core, 3.22 GHz Processor","6.1 inches, 1170 x 2532 px Display with Small Notch",12 MP + 12 MP Dual Rear & 12 MP Front Camera,iOS v16,Dual Sim,1,1,1,1,1,1,0,6,128,Bionic A15,6.0,3.22,Hexa,6.1,1170 x 2532,,12.0,12.0,1170.0,2532.0,No,0,iOS,16.0
