model,Price,Rating,SIM,RAM,Processor,Display,Camera,OS,SIM_Type,Supports_3G,Supports_4G,Supports_5G,VoLTE,WiFi,NFC,IR_Blaster,RAM_GB,Storage_GB,Chipset,Cores,ClockSpeed_GHz,Core_Word,Display_Size,Resolution,RefreshRate_Hz,Rear_Main_MP,Front_MP,Resolution_Width,Resolution_Height,Card_Support,Card_Capacity_GB,OS_Name,OS_Version
Samsung Galaxy A23 5G (8GB RAM + 128GB),16889,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 695, Octa Core, 2.2 GHz Processor","6.6 inches, 1080 x 2408 px, 120 Hz Display with Water Drop Notch",50 MP Quad Rear & 8 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 695,8.0,2.2,Octa,6.6,1080 x 2408,120.0,50.0,8.0,1080.0,2408.0,Yes,1,Android,12.0
Vivo Y100 5G,16990,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity  900, Octa Core, 2.4 GHz Processor","6.38 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity  900,8.0,2.4,Octa,6.38,1080 x 2400,90.0,64.0,16.0,1080.0,2400.0,Yes,0,Android,13.0
Xiaomi Redmi Note 12 (6GB RAM + 128GB),12239,78.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen 1, Octa Core, 2 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",48 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,1,6,128,Snapdragon 4 Gen 1,8.0,2.0,Octa,6.67,1080 x 2400,120.0,48.0,13.0,1080.0,2400.0,Yes,1,Android,12.0
Xiaomi Redmi Note 12 Pro Plus (12GB RAM + 256GB),24999,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","12 GB RAM, 256 GB inbuilt","Dimensity 1080, Octa Core, 2.6 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,1,12,256,Dimensity 1080,8.0,2.6,Octa,6.67,1080 x 2400,120.0,200.0,16.0,1080.0,2400.0,No,0,Android,12.0
Realme 10 Pro Plus (8GB RAM + 128GB),19499,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 1080, Octa Core, 2.6 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 1080,8.0,2.6,Octa,6.7,1080 x 2412,120.0,108.0,16.0,1080.0,2412.0,No,0,Android,13.0
Samsung Galaxy Z Flip 5,59999,85.0,"Single Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Snapdragon 8 Gen 2, Octa Core, 3.2 GHz Processor","6.7 inches, 1080 x 2640 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",Memory Card Not Supported,Single Sim,1,1,1,1,1,1,0,8,256,Snapdragon 8 Gen 2,8.0,3.2,Octa,6.7,1080 x 2640,120.0,,,1080.0,2640.0,Yes,12,Memory,14.0
Motorola Moto E22s,10989,69.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Helio G37, Octa Core, 2.3 GHz Processor","6.5 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",16 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,4,64,Helio G37,8.0,2.3,Octa,6.5,720 x 1600,90.0,16.0,8.0,720.0,1600.0,Yes,0,Android,12.0
Vivo Y22 (6GB RAM + 128GB),8000,74.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Helio G70, Octa Core, 2 GHz Processor","6.55 inches, 720 x 1612 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,6,128,Helio G70,8.0,2.0,Octa,6.55,720 x 1612,,50.0,8.0,720.0,1612.0,Yes,1,Android,12.0
Apple iPhone 14 (256GB),63900,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","6 GB RAM, 256 GB inbuilt","Bionic A15, Hexa Core, 3.22 GHz Processor","6.1 inches, 1170 x 2532 px Display with Small Notch",12 MP + 12 MP Dual Rear & 12 MP Front Camera,iOS v16,Dual Sim,1,1,1,1,1,1,0,6,256,Bionic A15,6.0,3.22,Hexa,6.1,1170 x 2532,,12.0,12.0,1170.0,2532.0,No,0,iOS,16.0
OPPO F21s Pro 4G,21999,80.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon  680, Octa Core, 2.4 GHz Processor","6.43 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,8,128,Snapdragon  680,8.0,2.4,Octa,6.43,1080 x 2400,90.0,64.0,32.0,1080.0,2400.0,Yes,512,Android,12.0
